,X,Y
0,bahia cocoa review shower continu throughout week bahia cocoa zone allevi drought sinc earli januari improv prospect come temporao although normal humid level restor comissaria smith said weekli review dri period mean temporao late year arriv week end februari bag kilo make cumul total season mln stage last year seem cocoa deliv earlier consign includ arriv figur comissaria smith said still doubt much old crop cocoa still avail harvest practic come end total bahia crop estim around mln bag sale stand almost mln hundr thousand bag still hand farmer middlemen export processor doubt much cocoa would fit export shipper experienc dificulti obtain bahia superior certif view lower qualiti recent week farmer sold good part cocoa held consign comissaria smith said spot bean price rose cruzado per arroba kilo bean shipper reluct offer nearbi shipment limit sale book march shipment dlr per tonn port name new crop sale also light open port june juli go dlr dlr new york juli aug sept dlr per tonn fob routin sale butter made march april sold dlr april may butter went time new york may june juli dlr aug sept dlr time new york sept oct dec dlr time new york dec comissaria smith said destin u covert currenc area uruguay open port cake sale regist dlr march april dlr may dlr aug time new york dec oct dec buyer u argentina uruguay convert currenc area liquor sale limit march april sell dlr june juli dlr time new york juli aug sept dlr time new york sept oct dec time new york dec comissaria smith said total bahia sale current estim mln bag crop mln bag crop final figur period februari expect publish brazilian cocoa trade commiss carniv end midday februari,['cocoa']
1,comput termin system lt cpml complet sale comput termin system inc said complet sale share common stock warrant acquir addit one mln share lt sedio n v lugano switzerland dlr compani said warrant exercis five year purchas price dlr per share comput termin said sedio also right buy addit share increas total hold pct comput termin outstand common stock certain circumst involv chang control compani compani said condit occur warrant would exercis price equal pct common stock market price time exceed dlr per share comput termin also said sold technolgi right dot matrix impact technolog includ futur improv lt woodco inc houston tex dlr said would continu exclus worldwid license technolog woodco compani said move part reorgan plan would help pay current oper cost ensur product deliveri comput termin make comput gener label form tag ticket printer termin,['acq']
2,n z trade bank deposit growth rise slightli new zealand trade bank season adjust deposit growth rose pct januari compar rise pct decemb reserv bank said year year total deposit rose pct compar pct increas decemb year pct rise year ago period said weekli statist releas total deposit rose billion n z dlr januari compar billion decemb billion januari,['money-supply']
3,nation amus up viacom lt via bid viacom intern inc said lt nation amus inc rais valu offer viacom publicli held stock compani said special committe board plan meet later today consid offer one submit march one lt mcv hold inc spokeswoman unabl say committe met plan yesterday viacom said nation amus arsen hold inc subsidiari rais amount cash offer viacom share ct dlr valu fraction share exchang arsen hold prefer includ rais ct dlr nation amus alreadi own pct viacom stock,['acq']
4,roger lt rog see st qtr net significantli roger corp said first quarter earn significantli earn dlr four ct share quarter last year compani said expect revenu first quarter somewhat higher revenu mln dlr post year ago quarter roger said reach agreement sale mold switch circuit product line major supplier sale term disclos complet earli second quarter roger said,['earn']
5,island telephon share split approv lt island telephon co ltd said previous announc two one common share split approv sharehold annual meet,['earn']
6,u k grow impati japan thatcher prime minist margaret thatcher said u k grow impati japanes trade barrier warn would soon new power countri offer reciproc access market told parliament bid u k cabl wireless plc lt cawl l enter japanes telecommun market regard govern test case wrote prime minist japan mr nakason fourth march express interest cabl wireless bid yet repli see test open japanes market realli thatcher said thatcher told parliament shortli shall power exampl power financi servic act bank act becom avail shall abl take action case countri offer full access financi servic cabl wireless seek stake propos japanes telecommun rival kokusai denshin denwa japanes minist post telecommun report say oppos cabl wireless manageri role new compani,"['acq', 'trade']"
7,questech inc lt qtec year net shr loss nil vs profit ct net loss vs profit rev mln vs mln year shr profit ct vs profit ct net profit vs profit rev mln vs mln note current year net includ charg discontinu oper dlr,['earn']
8,canada oil export rise pct canadian oil export rose pct previou year mln cubic meter oil import soar pct mln cubic meter statist canada said product meanwhil unchang previou year mln cubic feet natur ga export plung pct billion cubic meter canadian sale slip pct billion cubic meter feder agenc said decemb oil product fell pct mln cubic meter export rose pct mln cubic meter import rose pct mln cubic meter natur ga export fell pct month billion cubic meter canadian sale eas pct billion cubic meter,"['crude', 'nat-gas']"
9,coffe sugar cocoa exchang name chairman new york coffe sugar cocoa exchang csce elect former first vice chairman gerald clanci two year term chairman board manag replac previou chairman howard katz katz chairman sinc remain board member clanci current serv exchang board manag chairman appeal execut pension polit action committe csce also elect charl nastro execut vice presid shearson lehman bro first vice chairman anthoni maccia vice presid woodhous drake carey name second vice chairman clifford evan presid demico futur elect treasur,"['cocoa', 'coffee', 'sugar']"
